,Date,Close,High,Low,Open,Volume,EMA_9,EMA_21,Signal,Position,CumulativeProfit
149,2024-08-06,18179.0,18483.25,17966.0,18165.75,697089.0,18802.922414585275,19282.67382010584,0.0,0.0,1913.5
150,2024-08-07,17966.5,18558.5,17836.25,18033.0,725244.0,18635.63793166822,19163.02165464167,0.0,0.0,1913.5
151,2024-08-08,18525.25,18593.5,17741.75,17873.0,663957.0,18613.56034533458,19105.04241331061,0.0,0.0,1913.5
152,2024-08-09,18616.0,18674.5,18383.0,18550.25,501761.0,18614.048276267666,19060.58401210056,0.0,0.0,1913.5
153,2024-08-12,18639.5,18765.25,18515.0,18590.0,469892.0,18619.13862101413,19022.303647364137,0.0,0.0,1913.5
154,2024-08-13,19104.25,19122.5,18628.5,18648.25,497670.0,18716.160896811307,19029.75331578558,0.0,0.0,1913.5
155,2024-08-14,19115.0,19203.5,18925.5,19099.25,553997.0,18795.92871744905,19037.503014350525,0.0,0.0,1913.5
156,2024-08-15,19581.25,19603.25,19100.5,19142.5,522322.0,18952.99297395924,19086.93455850048,0.0,0.0,1913.5
157,2024-08-16,19605.75,19683.0,19447.5,19570.25,458933.0,19083.54437916739,19134.0995986368,0.0,0.0,1913.5
158,2024-08-19,19857.75,19871.75,19525.25,19629.0,429305.0,19238.38550333392,19199.885998760725,1.0,1.0,1913.5
159,2024-08-20,19809.5,19931.0,19743.0,19857.75,485435.0,19352.60840266713,19255.30545341884,1.0,0.0,1913.5
160,2024-08-21,19909.5,19981.75,19771.5,19803.0,479077.0,19463.986722133704,19314.77768492622,1.0,0.0,1913.5
161,2024-08-22,19578.25,20025.25,19542.0,19921.25,630179.0,19486.839377706965,19338.72971356929,1.0,0.0,1913.5
162,2024-08-23,19790.75,19904.25,19591.75,19621.5,581201.0,19547.621502165573,19379.82246688117,1.0,0.0,1913.5
163,2024-08-26,19591.25,19846.25,19505.5,19787.75,473540.0,19556.34720173246,19399.04315171016,1.0,0.0,1913.5
164,2024-08-27,19653.75,19694.25,19441.5,19558.75,441146.0,19575.82776138597,19422.198319736504,1.0,0.0,1913.5
165,2024-08-28,19415.75,19691.0,19227.25,19635.5,537278.0,19543.81220910877,19421.612108851365,1.0,0.0,1913.5
166,2024-08-29,19393.25,19693.5,19140.25,19217.0,669705.0,19513.69976728702,19419.033735319423,1.0,0.0,1913.5
167,2024-08-30,19623.0,19632.75,19370.5,19445.75,495609.0,19535.55981382962,19437.576123017658,1.0,0.0,1913.5
168,2024-09-03,19006.5,19683.0,18911.0,19599.0,698442.0,19429.747851063697,19398.387384561505,1.0,0.0,1913.5
169,2024-09-04,18962.5,19114.75,18825.75,18993.75,582116.0,19336.29828085096,19358.76125869228,0.0,-1.0,1018.25
170,2024-09-05,18963.5,19150.5,18827.25,18965.75,585125.0,19261.73862468077,19322.828416992976,0.0,0.0,1018.25
